conversion_id,event_id,conversion_timestamp,conversion_value,attribution_model,sku,quantity
conv_alpha_000280,evt_alpha_004347,2024-01-11 00:00:00 CST,453,first_click,SKU-050,3
conv_alpha_000281,evt_alpha_008244,2024-02-11 00:00:00 CST,18,first_click,SKU-063,4
conv_alpha_000282,evt_alpha_007513,2024-01-23 00:00:00 CST,87,first_click,SKU-085,3
conv_alpha_000283,evt_alpha_009291,2024-01-04 00:00:00 CST,474,linear,SKU-092,4
conv_alpha_000284,evt_alpha_000820,2024-02-23 00:00:00 CST,317,linear,SKU-036,3
conv_alpha_000285,evt_alpha_001395,2024-01-31 00:00:00 CST,426,last_click,SKU-022,4
conv_alpha_000286,evt_alpha_004616,2024-03-13 00:00:00 CST,329,last_click,SKU-070,1
conv_alpha_000287,evt_alpha_008439,2024-01-07 00:00:00 CST,169,last_click,SKU-054,4
conv_alpha_000288,evt_alpha_003037,2024-02-11 00:00:00 CST,99,last_click,SKU-090,3
conv_alpha_000289,evt_alpha_003328,2024-01-20 00:00:00 CST,431,linear,SKU-086,2
conv_alpha_000290,evt_alpha_000630,2024-01-07 00:00:00 CST,223,linear,SKU-078,1
conv_alpha_000291,evt_alpha_004364,2024-01-20 00:00:00 CST,337,first_click,SKU-018,2
conv_alpha_000292,evt_alpha_000835,2024-03-27 00:00:00 CST,288,last_click,SKU-002,2
conv_alpha_000293,evt_alpha_003499,2024-03-26 00:00:00 CST,187,linear,SKU-044,1
conv_alpha_000294,evt_alpha_009161,2024-02-03 00:00:00 CST,424,first_click,SKU-052,4
conv_alpha_000295,evt_alpha_002706,2024-01-29 00:00:00 CST,257,first_click,SKU-055,4
conv_alpha_000296,evt_alpha_005405,2024-03-15 00:00:00 CST,487,linear,SKU-086,1
conv_alpha_000297,evt_alpha_004390,2024-01-25 00:00:00 CST,310,linear,SKU-059,2
conv_alpha_000298,evt_alpha_004828,2024-01-02 00:00:00 CST,367,linear,SKU-015,2
conv_alpha_000299,evt_alpha_002905,2024-01-11 00:00:00 CST,224,last_click,SKU-068,4
conv_alpha_000300,evt_alpha_002351,2024-01-01 00:00:00 CST,352,last_click,SKU-027,3
conv_alpha_000301,evt_alpha_002081,2024-03-08 00:00:00 CST,11,linear,SKU-036,3
conv_alpha_000302,evt_alpha_006613,2024-01-10 00:00:00 CST,499,linear,SKU-091,3
conv_alpha_000303,evt_alpha_004550,2024-02-20 00:00:00 CST,414,linear,SKU-072,2
conv_alpha_000304,evt_alpha_000995,2024-03-09 00:00:00 CST,89,first_click,SKU-023,4
conv_alpha_000305,evt_alpha_004011,2024-02-21 00:00:00 CST,366,linear,SKU-021,1
conv_alpha_000306,evt_alpha_001164,2024-03-02 00:00:00 CST,237,linear,SKU-070,2
conv_alpha_000307,evt_alpha_006588,2024-01-24 00:00:00 CST,469,first_click,SKU-035,3
conv_alpha_000308,evt_alpha_004314,2024-02-11 00:00:00 CST,330,last_click,SKU-077,3
conv_alpha_000309,evt_alpha_004081,2024-02-09 00:00:00 CST,143,last_click,SKU-047,2
conv_alpha_000310,evt_alpha_003051,2024-01-08 00:00:00 CST,110,first_click,SKU-004,3
conv_alpha_000311,evt_alpha_001684,2024-02-22 00:00:00 CST,35,first_click,SKU-033,2
conv_alpha_000312,evt_alpha_001995,2024-01-06 00:00:00 CST,93,linear,SKU-030,3
conv_alpha_000313,evt_alpha_003079,2024-01-17 00:00:00 CST,372,last_click,SKU-044,4
conv_alpha_000314,evt_alpha_009474,2024-02-13 00:00:00 CST,315,linear,SKU-010,1
conv_alpha_000315,evt_alpha_005453,2024-01-18 00:00:00 CST,42,first_click,SKU-090,4
conv_alpha_000316,evt_alpha_007718,2024-02-25 00:00:00 CST,443,last_click,SKU-028,2
conv_alpha_000317,evt_alpha_003943,2024-01-31 00:00:00 CST,383,linear,SKU-096,3
conv_alpha_000318,evt_alpha_007672,2024-01-23 00:00:00 CST,184,linear,SKU-035,1
conv_alpha_000319,evt_alpha_009779,2024-02-18 00:00:00 CST,477,linear,SKU-032,4
conv_alpha_000320,evt_alpha_008357,2024-02-15 00:00:00 CST,462,linear,SKU-062,4
conv_alpha_000321,evt_alpha_004193,2024-01-26 00:00:00 CST,380,linear,SKU-073,3
conv_alpha_000322,evt_alpha_004961,2024-01-21 00:00:00 CST,204,first_click,SKU-005,2
conv_alpha_000323,evt_alpha_004823,2024-02-21 00:00:00 CST,25,first_click,SKU-040,3
conv_alpha_000324,evt_alpha_007321,2024-02-25 00:00:00 CST,138,first_click,SKU-084,2
conv_alpha_000325,evt_alpha_004845,2024-03-15 00:00:00 CST,413,linear,SKU-004,2
conv_alpha_000326,evt_alpha_006317,2024-02-11 00:00:00 CST,295,last_click,SKU-022,4
conv_alpha_000327,evt_alpha_005009,2024-01-05 00:00:00 CST,309,first_click,SKU-005,3
conv_alpha_000328,evt_alpha_009549,2024-03-15 00:00:00 CST,286,linear,SKU-032,1
conv_alpha_000329,evt_alpha_009538,2024-01-13 00:00:00 CST,143,first_click,SKU-048,4
conv_alpha_000330,evt_alpha_005342,2024-01-23 00:00:00 CST,367,first_click,SKU-070,2
conv_alpha_000331,evt_alpha_002105,2024-02-09 00:00:00 CST,314,first_click,SKU-071,1
conv_alpha_000332,evt_alpha_005351,2024-03-07 00:00:00 CST,205,linear,SKU-081,3
conv_alpha_000333,evt_alpha_005846,2024-02-26 00:00:00 CST,459,first_click,SKU-070,3
conv_alpha_000334,evt_alpha_008753,2024-01-24 00:00:00 CST,75,first_click,SKU-005,2
conv_alpha_000335,evt_alpha_005836,2024-01-10 00:00:00 CST,31,last_click,SKU-007,2
conv_alpha_000336,evt_alpha_006147,2024-03-06 00:00:00 CST,351,last_click,SKU-088,2
conv_alpha_000337,evt_alpha_004629,2024-03-09 00:00:00 CST,211,linear,SKU-062,3
conv_alpha_000338,evt_alpha_001704,2024-01-22 00:00:00 CST,36,first_click,SKU-021,1
conv_alpha_000339,evt_alpha_000021,2024-01-09 00:00:00 CST,168,last_click,SKU-001,3
conv_alpha_000340,evt_alpha_004586,2024-02-03 00:00:00 CST,162,last_click,SKU-033,3
conv_alpha_000341,evt_alpha_005204,2024-01-16 00:00:00 CST,78,linear,SKU-026,2
conv_alpha_000342,evt_alpha_006162,2024-01-22 00:00:00 CST,194,first_click,SKU-079,2
conv_alpha_000343,evt_alpha_004701,2024-02-04 00:00:00 CST,151,linear,SKU-007,2
conv_alpha_000344,evt_alpha_000217,2024-01-10 00:00:00 CST,57,first_click,SKU-046,2
conv_alpha_000345,evt_alpha_003158,2024-03-14 00:00:00 CST,248,first_click,SKU-018,1
conv_alpha_000346,evt_alpha_001026,2024-03-14 00:00:00 CST,38,last_click,SKU-069,3
conv_alpha_000347,evt_alpha_009497,2024-02-05 00:00:00 CST,13,linear,SKU-090,2
conv_alpha_000348,evt_alpha_000533,2024-03-02 00:00:00 CST,458,first_click,SKU-083,3
conv_alpha_000349,evt_alpha_002664,2024-03-16 00:00:00 CST,191,first_click,SKU-006,3
conv_alpha_000350,evt_alpha_008674,2024-01-11 00:00:00 CST,266,last_click,SKU-007,3
conv_alpha_000351,evt_alpha_006561,2024-01-07 00:00:00 CST,168,last_click,SKU-026,2
conv_alpha_000352,evt_alpha_003356,2024-02-04 00:00:00 CST,46,first_click,SKU-069,2
conv_alpha_000353,evt_alpha_000113,2024-01-04 00:00:00 CST,208,first_click,SKU-061,4
conv_alpha_000354,evt_alpha_001883,2024-01-07 00:00:00 CST,468,last_click,SKU-061,2
conv_alpha_000355,evt_alpha_009927,2024-01-24 00:00:00 CST,60,first_click,SKU-031,3
conv_alpha_000356,evt_alpha_004266,2024-03-28 00:00:00 CST,188,first_click,SKU-011,1
conv_alpha_000357,evt_alpha_002575,2024-02-10 00:00:00 CST,423,last_click,SKU-071,4
conv_alpha_000358,evt_alpha_001251,2024-01-31 00:00:00 CST,20,linear,SKU-078,2
conv_alpha_000359,evt_alpha_007630,2024-01-08 00:00:00 CST,277,linear,SKU-088,1
conv_alpha_000360,evt_alpha_001957,2024-02-24 00:00:00 CST,150,first_click,SKU-035,1
conv_alpha_000361,evt_alpha_005437,2024-01-20 00:00:00 CST,63,first_click,SKU-067,2
conv_alpha_000362,evt_alpha_001726,2024-03-11 00:00:00 CST,274,first_click,SKU-061,1
conv_alpha_000363,evt_alpha_006449,2024-02-28 00:00:00 CST,185,last_click,SKU-052,3
conv_alpha_000364,evt_alpha_001074,2024-03-09 00:00:00 CST,97,linear,SKU-066,1
conv_alpha_000365,evt_alpha_002958,2024-03-25 00:00:00 CST,110,first_click,SKU-002,1
conv_alpha_000366,evt_alpha_000794,2024-02-21 00:00:00 CST,126,linear,SKU-038,1
conv_alpha_000367,evt_alpha_001042,2024-01-30 00:00:00 CST,83,linear,SKU-077,1
conv_alpha_000368,evt_alpha_004242,2024-02-10 00:00:00 CST,280,first_click,SKU-033,4
conv_alpha_000369,evt_alpha_006264,2024-03-26 00:00:00 CST,402,first_click,SKU-002,3
conv_alpha_000370,evt_alpha_001194,2024-01-26 00:00:00 CST,78,linear,SKU-060,2
conv_alpha_000371,evt_alpha_000572,2024-03-05 00:00:00 CST,364,last_click,SKU-041,1
conv_alpha_000372,evt_alpha_004889,2024-03-29 00:00:00 CST,278,last_click,SKU-016,3
conv_alpha_000373,evt_alpha_008491,2024-01-30 00:00:00 CST,139,last_click,SKU-038,1
conv_alpha_000374,evt_alpha_009366,2024-01-29 00:00:00 CST,66,last_click,SKU-073,3
conv_alpha_000375,evt_alpha_003905,2024-03-21 00:00:00 CST,87,linear,SKU-090,2
conv_alpha_000376,evt_alpha_006082,2024-01-18 00:00:00 CST,494,last_click,SKU-039,3
conv_alpha_000377,evt_alpha_000086,2024-01-26 00:00:00 CST,125,linear,SKU-024,4
conv_alpha_000378,evt_alpha_008407,2024-03-18 00:00:00 CST,361,linear,SKU-023,1
conv_alpha_000379,evt_alpha_005505,2024-03-17 00:00:00 CST,167,last_click,SKU-098,3
conv_alpha_000380,evt_alpha_009188,2024-01-12 00:00:00 CST,91,last_click,SKU-077,2
conv_alpha_000381,evt_alpha_006112,2024-02-19 00:00:00 CST,456,last_click,SKU-037,2
conv_alpha_000382,evt_alpha_009419,2024-03-09 00:00:00 CST,448,last_click,SKU-089,1
conv_alpha_000383,evt_alpha_004403,2024-03-03 00:00:00 CST,88,linear,SKU-076,2
conv_alpha_000384,evt_alpha_007317,2024-03-28 00:00:00 CST,469,linear,SKU-086,2
conv_alpha_000385,evt_alpha_007097,2024-03-18 00:00:00 CST,470,last_click,SKU-080,2
conv_alpha_000386,evt_alpha_004352,2024-01-28 00:00:00 CST,232,last_click,SKU-066,3
conv_alpha_000387,evt_alpha_004452,2024-01-02 00:00:00 CST,426,last_click,SKU-036,2
conv_alpha_000388,evt_alpha_008435,2024-01-18 00:00:00 CST,429,first_click,SKU-001,2
conv_alpha_000389,evt_alpha_002583,2024-01-21 00:00:00 CST,38,last_click,SKU-064,2
conv_alpha_000390,evt_alpha_005514,2024-02-27 00:00:00 CST,271,linear,SKU-010,4
conv_alpha_000391,evt_alpha_002033,2024-03-17 00:00:00 CST,377,first_click,SKU-035,3
conv_alpha_000392,evt_alpha_003029,2024-01-17 00:00:00 CST,12,first_click,SKU-098,3
conv_alpha_000393,evt_alpha_009091,2024-02-02 00:00:00 CST,436,linear,SKU-019,3
conv_alpha_000394,evt_alpha_006643,2024-02-06 00:00:00 CST,344,last_click,SKU-072,2
conv_alpha_000395,evt_alpha_003761,2024-01-27 00:00:00 CST,187,first_click,SKU-024,3
conv_alpha_000396,evt_alpha_002871,2024-02-03 00:00:00 CST,90,last_click,SKU-023,4
conv_alpha_000397,evt_alpha_004000,2024-03-04 00:00:00 CST,133,linear,SKU-012,4
conv_alpha_000398,evt_alpha_009438,2024-03-03 00:00:00 CST,181,linear,SKU-021,4
conv_alpha_000399,evt_alpha_007462,2024-03-15 00:00:00 CST,42,first_click,SKU-072,3
conv_alpha_000400,evt_alpha_006938,2024-03-27 00:00:00 CST,178,linear,SKU-010,3
conv_alpha_000401,evt_alpha_003276,2024-01-31 00:00:00 CST,164,last_click,SKU-048,3
conv_alpha_000402,evt_alpha_002617,2024-02-16 00:00:00 CST,107,linear,SKU-071,4
conv_alpha_000403,evt_alpha_005323,2024-01-05 00:00:00 CST,111,first_click,SKU-090,3
conv_alpha_000404,evt_alpha_005384,2024-03-17 00:00:00 CST,44,linear,SKU-034,3
conv_alpha_000405,evt_alpha_002785,2024-01-27 00:00:00 CST,311,last_click,SKU-012,3
conv_alpha_000406,evt_alpha_007041,2024-02-16 00:00:00 CST,109,last_click,SKU-082,4
conv_alpha_000407,evt_alpha_006612,2024-02-25 00:00:00 CST,31,last_click,SKU-011,3
conv_alpha_000408,evt_alpha_006695,2024-02-11 00:00:00 CST,272,linear,SKU-031,4
conv_alpha_000409,evt_alpha_009541,2024-03-30 00:00:00 CST,429,last_click,SKU-036,3
conv_alpha_000410,evt_alpha_003068,2024-02-26 00:00:00 CST,117,linear,SKU-064,1
conv_alpha_000411,evt_alpha_004253,2024-02-12 00:00:00 CST,433,first_click,SKU-073,2
conv_alpha_000412,evt_alpha_000664,2024-01-26 00:00:00 CST,332,first_click,SKU-042,1
conv_alpha_000413,evt_alpha_008904,2024-01-07 00:00:00 CST,302,last_click,SKU-091,4
conv_alpha_000414,evt_alpha_000631,2024-03-01 00:00:00 CST,443,first_click,SKU-006,1
conv_alpha_000415,evt_alpha_003542,2024-03-29 00:00:00 CST,220,last_click,SKU-031,2
conv_alpha_000416,evt_alpha_001508,2024-03-03 00:00:00 CST,171,first_click,SKU-074,2
conv_alpha_000417,evt_alpha_002362,2024-03-15 00:00:00 CST,289,first_click,SKU-002,2
conv_alpha_000418,evt_alpha_009469,2024-03-20 00:00:00 CST,96,linear,SKU-043,2
conv_alpha_000419,evt_alpha_007813,2024-02-25 00:00:00 CST,352,last_click,SKU-023,2
conv_alpha_000420,evt_alpha_001892,2024-02-11 00:00:00 CST,413,linear,SKU-088,1
conv_alpha_000421,evt_alpha_009169,2024-01-27 00:00:00 CST,446,linear,SKU-048,1
conv_alpha_000422,evt_alpha_005367,2024-03-19 00:00:00 CST,81,last_click,SKU-072,4
conv_alpha_000423,evt_alpha_000462,2024-02-06 00:00:00 CST,126,linear,SKU-041,2
conv_alpha_000424,evt_alpha_006731,2024-03-03 00:00:00 CST,363,linear,SKU-003,2
conv_alpha_000425,evt_alpha_005432,2024-02-23 00:00:00 CST,207,first_click,SKU-020,3
conv_alpha_000426,evt_alpha_003751,2024-01-17 00:00:00 CST,178,last_click,SKU-013,2
conv_alpha_000427,evt_alpha_000499,2024-03-04 00:00:00 CST,350,first_click,SKU-042,4
conv_alpha_000428,evt_alpha_000667,2024-02-13 00:00:00 CST,226,last_click,SKU-048,2
conv_alpha_000429,evt_alpha_004336,2024-01-11 00:00:00 CST,466,last_click,SKU-099,4
conv_alpha_000430,evt_alpha_006640,2024-01-29 00:00:00 CST,49,last_click,SKU-037,4
conv_alpha_000431,evt_alpha_000688,2024-03-12 00:00:00 CST,190,linear,SKU-069,3
conv_alpha_000432,evt_alpha_007817,2024-02-16 00:00:00 CST,88,linear,SKU-032,4
conv_alpha_000433,evt_alpha_003303,2024-02-20 00:00:00 CST,374,first_click,SKU-035,1
conv_alpha_000434,evt_alpha_008094,2024-02-04 00:00:00 CST,473,first_click,SKU-036,4
conv_alpha_000435,evt_alpha_006223,2024-02-18 00:00:00 CST,334,linear,SKU-069,4
conv_alpha_000436,evt_alpha_005541,2024-02-24 00:00:00 CST,105,linear,SKU-011,3
conv_alpha_000437,evt_alpha_008682,2024-02-18 00:00:00 CST,485,first_click,SKU-031,4
conv_alpha_000438,evt_alpha_009555,2024-01-27 00:00:00 CST,162,first_click,SKU-098,3
conv_alpha_000439,evt_alpha_003573,2024-02-21 00:00:00 CST,398,linear,SKU-063,4
conv_alpha_000440,evt_alpha_003729,2024-03-20 00:00:00 CST,476,linear,SKU-093,3
conv_alpha_000441,evt_alpha_007035,2024-01-29 00:00:00 CST,282,linear,SKU-040,3
conv_alpha_000442,evt_alpha_007426,2024-03-17 00:00:00 CST,175,last_click,SKU-084,1
conv_alpha_000443,evt_alpha_006901,2024-02-17 00:00:00 CST,483,last_click,SKU-076,1
conv_alpha_000444,evt_alpha_005854,2024-01-02 00:00:00 CST,426,last_click,SKU-053,1
conv_alpha_000445,evt_alpha_007162,2024-03-03 00:00:00 CST,250,linear,SKU-061,4
conv_alpha_000446,evt_alpha_000912,2024-01-10 00:00:00 CST,355,linear,SKU-020,1
conv_alpha_000447,evt_alpha_002483,2024-01-08 00:00:00 CST,260,first_click,SKU-079,1
conv_alpha_000448,evt_alpha_008406,2024-03-18 00:00:00 CST,369,first_click,SKU-027,3
conv_alpha_000449,evt_alpha_008486,2024-03-29 00:00:00 CST,227,linear,SKU-075,2
conv_alpha_000450,evt_alpha_000362,2024-02-20 00:00:00 CST,89,last_click,SKU-084,3
conv_alpha_000451,evt_alpha_007328,2024-03-17 00:00:00 CST,440,linear,SKU-068,3
conv_alpha_000452,evt_alpha_005762,2024-02-10 00:00:00 CST,100,linear,SKU-038,2
conv_alpha_000453,evt_alpha_007429,2024-03-02 00:00:00 CST,17,first_click,SKU-088,3
conv_alpha_000454,evt_alpha_008088,2024-01-27 00:00:00 CST,278,last_click,SKU-071,2
conv_alpha_000455,evt_alpha_008132,2024-01-28 00:00:00 CST,46,last_click,SKU-037,3
conv_alpha_000456,evt_alpha_001453,2024-03-30 00:00:00 CST,248,first_click,SKU-083,3
conv_alpha_000457,evt_alpha_004169,2024-02-25 00:00:00 CST,371,first_click,SKU-095,4
conv_alpha_000458,evt_alpha_007277,2024-01-06 00:00:00 CST,472,first_click,SKU-009,1
conv_alpha_000459,evt_alpha_004913,2024-01-15 00:00:00 CST,323,first_click,SKU-079,3
conv_alpha_000460,evt_alpha_003398,2024-02-15 00:00:00 CST,356,first_click,SKU-096,1
conv_alpha_000461,evt_alpha_006692,2024-02-23 00:00:00 CST,111,first_click,SKU-039,4
conv_alpha_000462,evt_alpha_003631,2024-03-18 00:00:00 CST,267,first_click,SKU-042,2
conv_alpha_000463,evt_alpha_006274,2024-03-02 00:00:00 CST,427,first_click,SKU-074,2
conv_alpha_000464,evt_alpha_002997,2024-03-25 00:00:00 CST,34,first_click,SKU-036,1
conv_alpha_000465,evt_alpha_005883,2024-02-05 00:00:00 CST,437,first_click,SKU-035,4
conv_alpha_000466,evt_alpha_009557,2024-02-16 00:00:00 CST,491,linear,SKU-094,4
conv_alpha_000467,evt_alpha_006586,2024-03-01 00:00:00 CST,232,first_click,SKU-069,4
conv_alpha_000468,evt_alpha_004237,2024-03-17 00:00:00 CST,285,linear,SKU-006,1
conv_alpha_000469,evt_alpha_000789,2024-03-27 00:00:00 CST,262,last_click,SKU-071,4
conv_alpha_000470,evt_alpha_007868,2024-03-01 00:00:00 CST,341,linear,SKU-081,2
conv_alpha_000471,evt_alpha_007503,2024-03-08 00:00:00 CST,238,last_click,SKU-009,3
conv_alpha_000472,evt_alpha_007755,2024-02-03 00:00:00 CST,160,linear,SKU-009,3
conv_alpha_000473,evt_alpha_006604,2024-02-19 00:00:00 CST,323,last_click,SKU-043,2
conv_alpha_000474,evt_alpha_009132,2024-02-26 00:00:00 CST,159,linear,SKU-085,3
conv_alpha_000475,evt_alpha_006766,2024-01-06 00:00:00 CST,248,last_click,SKU-028,4
conv_alpha_000476,evt_alpha_003968,2024-01-23 00:00:00 CST,145,last_click,SKU-072,2
conv_alpha_000477,evt_alpha_005376,2024-01-11 00:00:00 CST,17,linear,SKU-051,3
conv_alpha_000478,evt_alpha_008557,2024-02-05 00:00:00 CST,209,linear,SKU-029,4
conv_alpha_000479,evt_alpha_000747,2024-03-22 00:00:00 CST,210,linear,SKU-038,2
conv_alpha_000480,evt_alpha_003852,2024-02-09 00:00:00 CST,317,last_click,SKU-078,4
conv_alpha_000481,evt_alpha_005771,2024-02-21 00:00:00 CST,360,first_click,SKU-085,4
conv_alpha_000482,evt_alpha_009911,2024-01-07 00:00:00 CST,320,first_click,SKU-076,3
conv_alpha_000483,evt_alpha_004484,2024-01-03 00:00:00 CST,489,linear,SKU-012,2
conv_alpha_000484,evt_alpha_003325,2024-02-02 00:00:00 CST,433,last_click,SKU-003,2
conv_alpha_000485,evt_alpha_008485,2024-02-03 00:00:00 CST,204,first_click,SKU-014,1
conv_alpha_000486,evt_alpha_005710,2024-01-12 00:00:00 CST,304,last_click,SKU-094,2
conv_alpha_000487,evt_alpha_009018,2024-02-20 00:00:00 CST,464,linear,SKU-051,3
conv_alpha_000488,evt_alpha_003699,2024-01-31 00:00:00 CST,305,last_click,SKU-014,3
conv_alpha_000489,evt_alpha_005561,2024-01-28 00:00:00 CST,254,last_click,SKU-070,4
conv_alpha_000490,evt_alpha_001632,2024-02-25 00:00:00 CST,14,last_click,SKU-062,3
conv_alpha_000491,evt_alpha_004433,2024-02-03 00:00:00 CST,433,linear,SKU-039,4
conv_alpha_000492,evt_alpha_000387,2024-01-09 00:00:00 CST,209,first_click,SKU-006,1
conv_alpha_000493,evt_alpha_006085,2024-02-17 00:00:00 CST,346,last_click,SKU-077,2
conv_alpha_000494,evt_alpha_008987,2024-03-04 00:00:00 CST,195,linear,SKU-025,4
conv_alpha_000495,evt_alpha_001900,2024-02-27 00:00:00 CST,425,linear,SKU-075,2
conv_alpha_000496,evt_alpha_009873,2024-01-27 00:00:00 CST,111,last_click,SKU-042,4
conv_alpha_000497,evt_alpha_002408,2024-02-03 00:00:00 CST,408,last_click,SKU-077,3
conv_alpha_000498,evt_alpha_004707,2024-03-17 00:00:00 CST,400,last_click,SKU-001,1
conv_alpha_000499,evt_alpha_005524,2024-01-16 00:00:00 CST,442,last_click,SKU-088,3
conv_alpha_000500,evt_alpha_000090,2024-02-16 00:00:00 CST,138,linear,SKU-014,3
conv_alpha_000501,evt_alpha_009518,2024-02-29 00:00:00 CST,93,last_click,SKU-026,2
conv_alpha_000502,evt_alpha_000163,2024-02-22 00:00:00 CST,205,linear,SKU-062,1
conv_alpha_000503,evt_alpha_006081,2024-01-10 00:00:00 CST,451,last_click,SKU-055,3
conv_alpha_000504,evt_alpha_002098,2024-01-22 00:00:00 CST,308,first_click,SKU-003,1
conv_alpha_000505,evt_alpha_006196,2024-02-09 00:00:00 CST,451,first_click,SKU-050,2
conv_alpha_000506,evt_alpha_007178,2024-03-06 00:00:00 CST,159,last_click,SKU-063,3
conv_alpha_000507,evt_alpha_001671,2024-03-23 00:00:00 CST,82,last_click,SKU-072,1
conv_alpha_000508,evt_alpha_005134,2024-01-15 00:00:00 CST,370,linear,SKU-085,2
conv_alpha_000509,evt_alpha_000409,2024-03-05 00:00:00 CST,444,first_click,SKU-026,2
conv_alpha_000510,evt_alpha_001371,2024-01-09 00:00:00 CST,163,linear,SKU-077,1
conv_alpha_000511,evt_alpha_006765,2024-01-18 00:00:00 CST,62,linear,SKU-092,1
conv_alpha_000512,evt_alpha_009924,2024-03-01 00:00:00 CST,100,last_click,SKU-034,2
conv_alpha_000513,evt_alpha_009390,2024-03-10 00:00:00 CST,292,first_click,SKU-009,3
conv_alpha_000514,evt_alpha_009860,2024-03-15 00:00:00 CST,12,first_click,SKU-014,1
conv_alpha_000515,evt_alpha_005111,2024-03-23 00:00:00 CST,218,last_click,SKU-058,2
conv_alpha_000516,evt_alpha_006615,2024-03-18 00:00:00 CST,147,linear,SKU-007,1
conv_alpha_000517,evt_alpha_006844,2024-02-07 00:00:00 CST,243,last_click,SKU-093,2
conv_alpha_000518,evt_alpha_002264,2024-03-09 00:00:00 CST,339,linear,SKU-001,1
conv_alpha_000519,evt_alpha_004690,2024-03-30 00:00:00 CST,453,first_click,SKU-051,2
conv_alpha_000520,evt_alpha_002936,2024-02-26 00:00:00 CST,459,linear,SKU-041,3
conv_alpha_000521,evt_alpha_000331,2024-02-04 00:00:00 CST,233,last_click,SKU-077,4
conv_alpha_000522,evt_alpha_008128,2024-02-02 00:00:00 CST,190,first_click,SKU-008,4
conv_alpha_000523,evt_alpha_009800,2024-03-11 00:00:00 CST,241,last_click,SKU-081,2
conv_alpha_000524,evt_alpha_003146,2024-02-12 00:00:00 CST,192,linear,SKU-071,1
conv_alpha_000525,evt_alpha_009026,2024-01-23 00:00:00 CST,292,first_click,SKU-048,1
conv_alpha_000526,evt_alpha_005647,2024-01-14 00:00:00 CST,445,first_click,SKU-020,2
conv_alpha_000527,evt_alpha_004892,2024-01-04 00:00:00 CST,488,first_click,SKU-005,2
conv_alpha_000528,evt_alpha_004298,2024-03-29 00:00:00 CST,21,linear,SKU-075,3
conv_alpha_000529,evt_alpha_000842,2024-03-11 00:00:00 CST,385,first_click,SKU-065,1
conv_alpha_000530,evt_alpha_000045,2024-01-10 00:00:00 CST,100,linear,SKU-083,1
conv_alpha_000531,evt_alpha_007796,2024-03-07 00:00:00 CST,287,first_click,SKU-093,3
conv_alpha_000532,evt_alpha_005038,2024-03-03 00:00:00 CST,351,first_click,SKU-009,1
conv_alpha_000533,evt_alpha_007779,2024-02-19 00:00:00 CST,198,first_click,SKU-098,1
conv_alpha_000534,evt_alpha_004633,2024-03-20 00:00:00 CST,239,last_click,SKU-003,1
conv_alpha_000535,evt_alpha_006337,2024-02-05 00:00:00 CST,338,linear,SKU-092,4
conv_alpha_000536,evt_alpha_001452,2024-03-11 00:00:00 CST,99,first_click,SKU-065,1
conv_alpha_000537,evt_alpha_001640,2024-02-04 00:00:00 CST,347,first_click,SKU-077,4
conv_alpha_000538,evt_alpha_000558,2024-01-21 00:00:00 CST,499,last_click,SKU-093,4
conv_alpha_000539,evt_alpha_008455,2024-03-14 00:00:00 CST,491,linear,SKU-084,4
conv_alpha_000540,evt_alpha_006538,2024-02-26 00:00:00 CST,249,first_click,SKU-095,3
conv_alpha_000541,evt_alpha_006567,2024-02-03 00:00:00 CST,397,first_click,SKU-048,3
conv_alpha_000542,evt_alpha_000383,2024-02-11 00:00:00 CST,111,last_click,SKU-050,2
conv_alpha_000543,evt_alpha_003629,2024-03-28 00:00:00 CST,51,last_click,SKU-010,2
conv_alpha_000544,evt_alpha_007553,2024-03-10 00:00:00 CST,198,first_click,SKU-051,1
conv_alpha_000545,evt_alpha_008672,2024-03-19 00:00:00 CST,183,linear,SKU-074,1
conv_alpha_000546,evt_alpha_009798,2024-02-19 00:00:00 CST,45,first_click,SKU-095,3
conv_alpha_000547,evt_alpha_009921,2024-02-18 00:00:00 CST,463,linear,SKU-027,2
conv_alpha_000548,evt_alpha_000001,2024-03-17 00:00:00 CST,56,first_click,SKU-061,4
conv_alpha_000549,evt_alpha_005124,2024-01-14 00:00:00 CST,232,last_click,SKU-070,4
conv_alpha_000550,evt_alpha_004546,2024-01-23 00:00:00 CST,458,linear,SKU-077,2
conv_alpha_000551,evt_alpha_008845,2024-01-19 00:00:00 CST,146,last_click,SKU-033,1
conv_alpha_000552,evt_alpha_003587,2024-03-22 00:00:00 CST,291,last_click,SKU-099,2
conv_alpha_000553,evt_alpha_004454,2024-03-22 00:00:00 CST,426,first_click,SKU-029,1
conv_alpha_000554,evt_alpha_008583,2024-02-18 00:00:00 CST,75,linear,SKU-072,2
conv_alpha_000555,evt_alpha_000302,2024-02-08 00:00:00 CST,225,last_click,SKU-064,4
conv_alpha_000556,evt_alpha_003211,2024-02-05 00:00:00 CST,23,linear,SKU-096,3
conv_alpha_000557,evt_alpha_004278,2024-03-18 00:00:00 CST,393,linear,SKU-020,1
conv_alpha_000558,evt_alpha_000173,2024-02-14 00:00:00 CST,90,first_click,SKU-048,4
conv_alpha_000559,evt_alpha_007568,2024-02-13 00:00:00 CST,133,linear,SKU-073,3
conv_alpha_000560,evt_alpha_007743,2024-03-30 00:00:00 CST,133,last_click,SKU-049,3
